year,acs_release,geography,county_name,county_fips,geo_id,total_population,median_age,white_alone,black_alone,american_indian_alaska_native,asian_alone,native_hawaiian_pacific_islander,other_race_alone,two_or_more_races,hispanic_or_latino,white_share,black_share,asian_share,hispanic_share,population_25_plus,high_school_or_higher,high_school_or_higher_share,bachelors_or_higher,bachelors_or_higher_share,median_household_income,labor_force,unemployed,unemployment_rate,poverty_universe,poverty_count,poverty_rate,occupied_housing_units,owner_occupied_housing_units,owner_occupied_share,source
2024,2024_acs_latest_available_from_census_reporter,"Bartholomew County, Indiana",Bartholomew,18005,05000US18005,83536,37.5,66196,1545,70,6174,9,4525,5017,7710,0.792425,0.018495,0.073908,0.092296,56413,51904,0.920072,19237,0.341003,79901,43601,1794,0.041146,82231,8609,0.104693,33359,23123,0.693156,https://censusreporter.org/profiles/05000US18005-bartholomew-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Brown County, Indiana",Brown,18013,05000US18013,15606,51,14706,46,145,86,12,55,556,304,0.94233,0.002948,0.005511,0.01948,12135,11432,0.942068,3204,0.26403,78528,7906,170,0.021503,15403,1199,0.077842,6781,5873,0.866096,https://censusreporter.org/profiles/05000US18013-brown-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Clark County, Indiana",Clark,18019,05000US18019,124354,39.9,101612,9069,429,1514,35,2428,9267,8547,0.817119,0.072929,0.012175,0.068731,87525,79786,0.91158,24281,0.277418,74214,66192,2651,0.04005,122565,12503,0.102011,51242,38300,0.747434,https://censusreporter.org/profiles/05000US18019-clark-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Dearborn County, Indiana",Dearborn,18029,05000US18029,51094,42.1,48314,139,60,276,0,376,1929,795,0.94559,0.00272,0.005402,0.01556,35955,33318,0.926658,9085,0.252677,84735,25953,500,0.019266,50372,3849,0.076411,20282,17287,0.852332,https://censusreporter.org/profiles/05000US18029-dearborn-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Decatur County, Indiana",Decatur,18031,05000US18031,26422,39.8,24649,178,77,22,0,279,1217,667,0.932897,0.006737,0.000833,0.025244,18116,16441,0.90754,3617,0.199658,69783,13720,363,0.026458,25880,2639,0.101971,10712,8151,0.760922,https://censusreporter.org/profiles/05000US18031-decatur-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Floyd County, Indiana",Floyd,18043,05000US18043,80918,40.9,69488,3867,162,1002,32,849,5518,3453,0.858746,0.047789,0.012383,0.042673,56178,52163,0.928531,18503,0.329364,79704,41597,1714,0.041205,79363,8212,0.103474,31916,23358,0.731859,https://censusreporter.org/profiles/05000US18043-floyd-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Franklin County, Indiana",Franklin,18047,05000US18047,23020,42.4,22081,18,8,207,0,161,545,270,0.959209,0.000782,0.008992,0.011729,16231,14633,0.901546,3162,0.194812,78074,11601,456,0.039307,22884,1579,0.069,9211,7509,0.815221,https://censusreporter.org/profiles/05000US18047-franklin-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Harrison County, Indiana",Harrison,18061,05000US18061,39859,43,37664,338,321,269,0,205,1062,961,0.944931,0.00848,0.006749,0.02411,28217,25948,0.919587,6136,0.217458,74475,19479,683,0.035063,39414,2826,0.0717,15497,12962,0.83642,https://censusreporter.org/profiles/05000US18061-harrison-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Jackson County, Indiana",Jackson,18071,05000US18071,46660,38.4,37337,276,1005,1043,0,2366,4633,6707,0.800193,0.005915,0.022353,0.143742,30885,27162,0.879456,6262,0.202752,70262,22907,605,0.026411,45590,5605,0.122944,18138,13272,0.731723,https://censusreporter.org/profiles/05000US18071-jackson-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Jefferson County, Indiana",Jefferson,18077,05000US18077,32998,41.8,30457,343,60,270,11,501,1356,1148,0.922995,0.010395,0.008182,0.03479,23212,20880,0.899535,4587,0.197613,64577,15804,694,0.043913,30858,3808,0.123404,12790,9188,0.718374,https://censusreporter.org/profiles/05000US18077-jefferson-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Jennings County, Indiana",Jennings,18079,05000US18079,27562,40.3,25744,96,93,125,0,439,1065,957,0.93404,0.003483,0.004535,0.034722,19108,16760,0.87712,2823,0.147739,69322,13435,617,0.045925,26744,3371,0.126047,10944,8621,0.787738,https://censusreporter.org/profiles/05000US18079-jennings-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Lawrence County, Indiana",Lawrence,18093,05000US18093,45102,43.3,42296,109,27,250,13,576,1831,900,0.937785,0.002417,0.005543,0.019955,32168,28927,0.899248,6566,0.204116,66468,22351,788,0.035256,44364,5429,0.122374,19135,15438,0.806794,https://censusreporter.org/profiles/05000US18093-lawrence-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Monroe County, Indiana",Monroe,18105,05000US18105,140965,31.2,115589,4988,219,9644,25,1625,8875,6736,0.819984,0.035385,0.068414,0.047785,83279,78954,0.948066,41185,0.494542,65868,75489,4156,0.055054,126485,24897,0.196838,59236,31967,0.539655,https://censusreporter.org/profiles/05000US18105-monroe-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Ohio County, Indiana",Ohio,18115,05000US18115,5999,47.2,5687,5,7,64,0,110,126,112,0.947991,0.000833,0.010668,0.01867,4449,4180,0.939537,790,0.177568,70392,2895,39,0.013472,5952,482,0.080981,2619,2130,0.813288,https://censusreporter.org/profiles/05000US18115-ohio-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Ripley County, Indiana",Ripley,18137,05000US18137,29095,41.2,27539,218,7,152,0,473,706,577,0.94652,0.007493,0.005224,0.019832,19894,18030,0.906303,4122,0.207198,70573,14778,447,0.030248,28565,2889,0.101138,11531,8861,0.76845,https://censusreporter.org/profiles/05000US18137-ripley-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Scott County, Indiana",Scott,18143,05000US18143,24526,40.8,23142,118,2,0,16,396,852,644,0.94357,0.004811,0.0,0.026258,16977,14458,0.851623,2154,0.126878,56352,11494,379,0.032974,23816,3944,0.165603,9848,6984,0.70918,https://censusreporter.org/profiles/05000US18143-scott-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Switzerland County, Indiana",Switzerland,18155,05000US18155,9909,42.5,9410,27,26,30,0,23,393,61,0.949642,0.002725,0.003028,0.006156,6854,5500,0.802451,607,0.088561,65343,4565,191,0.04184,9760,1232,0.12623,3875,3043,0.78529,https://censusreporter.org/profiles/05000US18155-switzerland-county-in/
2024,2024_acs_latest_available_from_census_reporter,"Washington County, Indiana",Washington,18175,05000US18175,28212,41.5,26962,97,3,37,0,219,894,433,0.955693,0.003438,0.001311,0.015348,19759,17354,0.878283,2858,0.144643,64641,13882,440,0.031696,27751,4009,0.144463,11229,9214,0.820554,https://censusreporter.org/profiles/05000US18175-washington-county-in/
