year,county_name,county_fips,districts_in_county,county_split_in_year,in09_source_rows
2016,Brown,18013,9,no,36
2016,Clark,18019,9,no,216
2016,Crawford,18025,8;9,yes,39
2016,Floyd,18043,9,no,180
2016,Harrison,18061,9,no,117
2016,Jackson,18071,9,no,90
2016,Johnson,18081,9,no,402
2016,Lawrence,18093,9,no,120
2016,Monroe,18105,9,no,249
2016,Morgan,18109,4;9,yes,108
2016,Orange,18117,9,no,66
2016,Scott,18143,6;9,yes,21
2016,Washington,18175,9,no,60
2018,Brown,18013,9,no,24
2018,Clark,18019,9,no,144
2018,Crawford,18025,8;9,yes,52
2018,Floyd,18043,9,no,720
2018,Harrison,18061,9,no,400
2018,Jackson,18071,9,no,60
2018,Johnson,18081,9,no,534
2018,Lawrence,18093,9,no,360
2018,Monroe,18105,9,no,994
2018,Morgan,18109,4;9,yes,323
2018,Orange,18117,9,no,198
2018,Scott,18143,6;9,yes,72
2020,Brown,18013,9,no,39
2020,Clark,18019,9,no,219
2020,Crawford,18025,8;9,yes,42
2020,Harrison,18061,9,no,117
2020,Johnson,18081,9,no,405
2020,Monroe,18105,9,no,246
2022,Bartholomew,18005,6;9,yes,18
2022,Clark,18019,9,no,225
2022,Dearborn,18029,9,no,135
2022,Decatur,18031,9,no,66
2022,Franklin,18047,9,no,69
2022,Harrison,18061,9,no,135
2022,Jefferson,18077,9,no,78
2022,Jennings,18079,9,no,75
2022,Scott,18143,9,no,48
2024,Bartholomew,18005,6;9,yes,18
2024,Brown,18013,9,no,44
2024,Clark,18019,9,no,1110
2024,Dearborn,18029,9,no,135
2024,Decatur,18031,9,no,66
2024,Floyd,18043,9,no,720
2024,Franklin,18047,9,no,69
2024,Harrison,18061,9,no,135
2024,Jackson,18071,9,no,90
2024,Jefferson,18077,9,no,78
2024,Jennings,18079,9,no,75
2024,Lawrence,18093,9,no,480
2024,Monroe,18105,9,no,468
2024,Ohio,18115,9,no,33
2024,Ripley,18137,9,no,222
2024,Scott,18143,9,no,192
2024,Switzerland,18155,9,no,216
2024,Washington,18175,9,no,115
