year,state,district,county_name,county_fips,dem_candidate,rep_candidate,lib_candidate,precincts,dem_votes,rep_votes,lib_votes,total_votes,dem_share,rep_share,lib_share,two_party_dem_share,rep_margin,rep_margin_share,winner_party,county_registered_voters,county_voters_voting,county_turnout_pct_reported,county_turnout_rate,county_election_day_votes,county_absentee_votes,county_absentee_share_reported,county_absentee_share,county_source,districts_in_county,county_split_in_year,county_2024_total_population,county_2024_median_age,county_2024_white_alone,county_2024_black_alone,county_2024_american_indian_alaska_native,county_2024_asian_alone,county_2024_native_hawaiian_pacific_islander,county_2024_other_race_alone,county_2024_two_or_more_races,county_2024_hispanic_or_latino,county_2024_white_share,county_2024_black_share,county_2024_asian_share,county_2024_hispanic_share,county_2024_population_25_plus,county_2024_high_school_or_higher,county_2024_high_school_or_higher_share,county_2024_bachelors_or_higher,county_2024_bachelors_or_higher_share,county_2024_median_household_income,county_2024_labor_force,county_2024_unemployed,county_2024_unemployment_rate,county_2024_poverty_universe,county_2024_poverty_count,county_2024_poverty_rate,county_2024_occupied_housing_units,county_2024_owner_occupied_housing_units,county_2024_owner_occupied_share,county_2024_source
2016,Indiana,9,Brown,18013,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,12,3036,4451,448,7935,0.382609,0.560933,0.056459,0.405503,1415,0.188994,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Clark,18019,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,72,21599,25802,2963,50364,0.428858,0.51231,0.058832,0.455665,4203,0.088669,Republican,94446,52204,0.55,0.552739,42620,9584,0.18,0.183587,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Crawford,18025,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,13,1623,1948,239,3810,0.425984,0.511286,0.06273,0.454495,325,0.091011,Republican,9286,4766,0.51,0.513246,3893,873,0.18,0.183172,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,8;9,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Floyd,18043,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,60,15997,19406,1736,37139,0.430733,0.522523,0.046743,0.451854,3409,0.096291,Republican,61175,38266,0.63,0.625517,17616,20650,0.54,0.539644,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Harrison,18061,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,39,6706,10809,895,18410,0.364259,0.587127,0.048615,0.382872,4103,0.234256,Republican,28754,18958,0.66,0.659317,14718,4240,0.22,0.223652,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Jackson,18071,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,30,5596,10804,976,17376,0.322053,0.621777,0.056169,0.34122,5208,0.317561,Republican,30531,17976,0.59,0.588779,12922,5054,0.28,0.281153,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Johnson,18081,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,134,20068,42207,3900,66175,0.303257,0.637809,0.058935,0.322248,22139,0.355504,Republican,107546,67754,0.63,0.63,29499,38255,0.56,0.564616,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Lawrence,18093,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,40,5720,11946,988,18654,0.306637,0.640399,0.052965,0.323786,6226,0.352428,Republican,33367,19541,0.59,0.585639,12375,7166,0.37,0.366716,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Monroe,18105,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,83,36115,19371,2732,58218,0.620341,0.332732,0.046927,0.650885,-16744,-0.30177,Democratic,112228,59847,0.53,0.533263,28894,30953,0.52,0.517202,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indiana,9,Morgan,18109,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,36,5140,14230,1253,20623,0.249236,0.690006,0.060757,0.265359,9090,0.469282,Republican,51542,31898,0.62,0.618874,15970,15928,0.5,0.499342,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,4;9,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
