year,state,state_po,district,office,county_name,county_fips,jurisdiction,precinct,candidate,party,party_abbr,mode,votes,source_file,drop_reason
2018,Indiana,IN,9,US House,Orange,18117,Orange,01-French Lick East,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,02-FLE-West Baden,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,06-FLW-West Baden,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,07-Greenfield,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,10-Northwest Only,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,11-Orangeville,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,14-Orleans Southwest,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,15- Paoli North,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,17- Paoli Northwest,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,18-Paoli South,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,21-Southeast Only,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,22-StampersCreek,WRITEIN,,,PROVISIONAL,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,03-French Lick North,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,04-French Lick South,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,06-FLW-West Baden,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,07-Greenfield,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,10-Northwest Only,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,11-Orangeville,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,14-Orleans Southwest,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,15- Paoli North,WRITEIN,,,ELECTION DAY,1,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,17- Paoli Northwest,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
2018,Indiana,IN,9,US House,Orange,18117,Orange,18-Paoli South,WRITEIN,,,ELECTION DAY,0,HOUSE_precinct_general.csv,write-in or non-candidate ballot accounting row
