year,state,district,office,county_name,county_fips,jurisdiction,precinct,candidate,party,party_abbr,votes,precinct_total_votes,candidate_vote_share,modes_used,used_total_row
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 1,Shelli Yoder,Democratic,D,235,691,0.340087,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 1,Russell Brooksbank,Libertarian,L,49,691,0.070912,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 1,Trey Hollingsworth,Republican,R,407,691,0.589001,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 2,Shelli Yoder,Democratic,D,208,723,0.28769,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 2,Russell Brooksbank,Libertarian,L,53,723,0.073306,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 2,Trey Hollingsworth,Republican,R,462,723,0.639004,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 3,Shelli Yoder,Democratic,D,179,623,0.287319,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 3,Russell Brooksbank,Libertarian,L,32,623,0.051364,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 3,Trey Hollingsworth,Republican,R,412,623,0.661316,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 1,Shelli Yoder,Democratic,D,206,660,0.312121,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 1,Russell Brooksbank,Libertarian,L,28,660,0.042424,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 1,Trey Hollingsworth,Republican,R,426,660,0.645455,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 2,Shelli Yoder,Democratic,D,192,427,0.449649,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 2,Russell Brooksbank,Libertarian,L,23,427,0.053864,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 2,Trey Hollingsworth,Republican,R,212,427,0.496487,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 3,Shelli Yoder,Democratic,D,188,527,0.356736,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 3,Russell Brooksbank,Libertarian,L,21,527,0.039848,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 3,Trey Hollingsworth,Republican,R,318,527,0.603416,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 4,Shelli Yoder,Democratic,D,237,490,0.483673,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 4,Russell Brooksbank,Libertarian,L,20,490,0.040816,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 4,Trey Hollingsworth,Republican,R,233,490,0.47551,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Van Buren,Shelli Yoder,Democratic,D,360,1006,0.357853,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Van Buren,Russell Brooksbank,Libertarian,L,74,1006,0.073559,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Van Buren,Trey Hollingsworth,Republican,R,572,1006,0.568588,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 1,Shelli Yoder,Democratic,D,310,808,0.383663,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 1,Russell Brooksbank,Libertarian,L,39,808,0.048267,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 1,Trey Hollingsworth,Republican,R,459,808,0.568069,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 2,Shelli Yoder,Democratic,D,286,648,0.441358,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 2,Russell Brooksbank,Libertarian,L,39,648,0.060185,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 2,Trey Hollingsworth,Republican,R,323,648,0.498457,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 3,Shelli Yoder,Democratic,D,311,669,0.464873,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 3,Russell Brooksbank,Libertarian,L,35,669,0.052317,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 3,Trey Hollingsworth,Republican,R,323,669,0.48281,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 4,Shelli Yoder,Democratic,D,324,663,0.488688,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 4,Russell Brooksbank,Libertarian,L,35,663,0.05279,TOTAL,yes
2016,Indiana,9,US House,Brown,18013,Brown,Washington 4,Trey Hollingsworth,Republican,R,304,663,0.458522,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Bethlehem 01,Shelli Yoder,Democratic,D,45,159,0.283019,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Bethlehem 01,Russell Brooksbank,Libertarian,L,17,159,0.106918,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Bethlehem 01,Trey Hollingsworth,Republican,R,97,159,0.610063,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Carr 01,Shelli Yoder,Democratic,D,768,2325,0.330323,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Carr 01,Russell Brooksbank,Libertarian,L,99,2325,0.042581,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Carr 01,Trey Hollingsworth,Republican,R,1458,2325,0.627097,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 01,Shelli Yoder,Democratic,D,321,821,0.390987,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 01,Russell Brooksbank,Libertarian,L,65,821,0.079172,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 01,Trey Hollingsworth,Republican,R,435,821,0.529842,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 02,Shelli Yoder,Democratic,D,199,429,0.463869,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 02,Russell Brooksbank,Libertarian,L,21,429,0.048951,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 02,Trey Hollingsworth,Republican,R,209,429,0.487179,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 03,Shelli Yoder,Democratic,D,99,199,0.497487,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 03,Russell Brooksbank,Libertarian,L,22,199,0.110553,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 03,Trey Hollingsworth,Republican,R,78,199,0.39196,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 04,Shelli Yoder,Democratic,D,134,298,0.449664,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 04,Russell Brooksbank,Libertarian,L,22,298,0.073826,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 04,Trey Hollingsworth,Republican,R,142,298,0.47651,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 05,Shelli Yoder,Democratic,D,171,444,0.385135,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 05,Russell Brooksbank,Libertarian,L,24,444,0.054054,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 05,Trey Hollingsworth,Republican,R,249,444,0.560811,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 06,Shelli Yoder,Democratic,D,550,1640,0.335366,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 06,Russell Brooksbank,Libertarian,L,74,1640,0.045122,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 06,Trey Hollingsworth,Republican,R,1016,1640,0.619512,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 07,Shelli Yoder,Democratic,D,617,1789,0.344885,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 07,Russell Brooksbank,Libertarian,L,68,1789,0.03801,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 07,Trey Hollingsworth,Republican,R,1104,1789,0.617105,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 08,Shelli Yoder,Democratic,D,224,646,0.346749,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 08,Russell Brooksbank,Libertarian,L,35,646,0.05418,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Charlestown 08,Trey Hollingsworth,Republican,R,387,646,0.599071,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 01,Shelli Yoder,Democratic,D,171,311,0.549839,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 01,Russell Brooksbank,Libertarian,L,8,311,0.025723,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 01,Trey Hollingsworth,Republican,R,132,311,0.424437,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 02,Shelli Yoder,Democratic,D,230,364,0.631868,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 02,Russell Brooksbank,Libertarian,L,24,364,0.065934,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 02,Trey Hollingsworth,Republican,R,110,364,0.302198,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 03,Shelli Yoder,Democratic,D,430,585,0.735043,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 03,Russell Brooksbank,Libertarian,L,33,585,0.05641,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 03,Trey Hollingsworth,Republican,R,122,585,0.208547,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 04,Shelli Yoder,Democratic,D,303,518,0.584942,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 04,Russell Brooksbank,Libertarian,L,46,518,0.088803,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 04,Trey Hollingsworth,Republican,R,169,518,0.326255,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 05,Shelli Yoder,Democratic,D,282,477,0.591195,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 05,Russell Brooksbank,Libertarian,L,34,477,0.071279,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 05,Trey Hollingsworth,Republican,R,161,477,0.337526,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 06,Shelli Yoder,Democratic,D,226,432,0.523148,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 06,Russell Brooksbank,Libertarian,L,23,432,0.053241,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 06,Trey Hollingsworth,Republican,R,183,432,0.423611,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 07,Shelli Yoder,Democratic,D,358,671,0.533532,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 07,Russell Brooksbank,Libertarian,L,38,671,0.056632,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 07,Trey Hollingsworth,Republican,R,275,671,0.409836,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 08,Shelli Yoder,Democratic,D,260,479,0.542797,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 08,Russell Brooksbank,Libertarian,L,37,479,0.077244,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 08,Trey Hollingsworth,Republican,R,182,479,0.379958,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 09,Shelli Yoder,Democratic,D,362,641,0.564743,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 09,Russell Brooksbank,Libertarian,L,43,641,0.067083,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 09,Trey Hollingsworth,Republican,R,236,641,0.368175,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 10,Shelli Yoder,Democratic,D,298,519,0.574181,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 10,Russell Brooksbank,Libertarian,L,26,519,0.050096,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 10,Trey Hollingsworth,Republican,R,195,519,0.375723,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 11,Shelli Yoder,Democratic,D,329,621,0.529791,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 11,Russell Brooksbank,Libertarian,L,34,621,0.05475,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 11,Trey Hollingsworth,Republican,R,258,621,0.415459,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 11A,Shelli Yoder,Democratic,D,128,259,0.494208,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 11A,Russell Brooksbank,Libertarian,L,8,259,0.030888,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 11A,Trey Hollingsworth,Republican,R,123,259,0.474903,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 12,Shelli Yoder,Democratic,D,260,571,0.455342,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 12,Russell Brooksbank,Libertarian,L,37,571,0.064799,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 12,Trey Hollingsworth,Republican,R,274,571,0.47986,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 13,Shelli Yoder,Democratic,D,416,762,0.545932,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 13,Russell Brooksbank,Libertarian,L,45,762,0.059055,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 13,Trey Hollingsworth,Republican,R,301,762,0.395013,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 14,Shelli Yoder,Democratic,D,216,474,0.455696,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 14,Russell Brooksbank,Libertarian,L,45,474,0.094937,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 14,Trey Hollingsworth,Republican,R,213,474,0.449367,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 15,Shelli Yoder,Democratic,D,283,648,0.436728,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 15,Russell Brooksbank,Libertarian,L,32,648,0.049383,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 15,Trey Hollingsworth,Republican,R,333,648,0.513889,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 16,Shelli Yoder,Democratic,D,472,1050,0.449524,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 16,Russell Brooksbank,Libertarian,L,45,1050,0.042857,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 16,Trey Hollingsworth,Republican,R,533,1050,0.507619,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 17,Shelli Yoder,Democratic,D,471,1021,0.461312,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 17,Russell Brooksbank,Libertarian,L,65,1021,0.063663,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 17,Trey Hollingsworth,Republican,R,485,1021,0.475024,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 18,Shelli Yoder,Democratic,D,915,1860,0.491935,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 18,Russell Brooksbank,Libertarian,L,81,1860,0.043548,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 18,Trey Hollingsworth,Republican,R,864,1860,0.464516,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 20,Shelli Yoder,Democratic,D,287,603,0.475954,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 20,Russell Brooksbank,Libertarian,L,28,603,0.046434,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 20,Trey Hollingsworth,Republican,R,288,603,0.477612,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 21,Shelli Yoder,Democratic,D,231,454,0.508811,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 21,Russell Brooksbank,Libertarian,L,24,454,0.052863,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 21,Trey Hollingsworth,Republican,R,199,454,0.438326,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 22,Shelli Yoder,Democratic,D,401,751,0.533955,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 22,Russell Brooksbank,Libertarian,L,49,751,0.065246,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 22,Trey Hollingsworth,Republican,R,301,751,0.400799,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 23,Shelli Yoder,Democratic,D,389,814,0.477887,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 23,Russell Brooksbank,Libertarian,L,49,814,0.060197,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 23,Trey Hollingsworth,Republican,R,376,814,0.461916,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 24,Shelli Yoder,Democratic,D,759,1471,0.515976,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 24,Russell Brooksbank,Libertarian,L,87,1471,0.059143,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 24,Trey Hollingsworth,Republican,R,625,1471,0.424881,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 25,Shelli Yoder,Democratic,D,400,988,0.404858,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 25,Russell Brooksbank,Libertarian,L,63,988,0.063765,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 25,Trey Hollingsworth,Republican,R,525,988,0.531377,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 27,Shelli Yoder,Democratic,D,110,231,0.47619,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 27,Russell Brooksbank,Libertarian,L,18,231,0.077922,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 27,Trey Hollingsworth,Republican,R,103,231,0.445887,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 30,Shelli Yoder,Democratic,D,200,417,0.479616,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 30,Russell Brooksbank,Libertarian,L,33,417,0.079137,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 30,Trey Hollingsworth,Republican,R,184,417,0.441247,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 31,Shelli Yoder,Democratic,D,203,421,0.482185,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 31,Russell Brooksbank,Libertarian,L,28,421,0.066508,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 31,Trey Hollingsworth,Republican,R,190,421,0.451306,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 32,Shelli Yoder,Democratic,D,146,293,0.498294,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 32,Russell Brooksbank,Libertarian,L,27,293,0.09215,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 32,Trey Hollingsworth,Republican,R,120,293,0.409556,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 33,Shelli Yoder,Democratic,D,231,496,0.465726,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 33,Russell Brooksbank,Libertarian,L,42,496,0.084677,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 33,Trey Hollingsworth,Republican,R,223,496,0.449597,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 34,Shelli Yoder,Democratic,D,197,357,0.551821,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 34,Russell Brooksbank,Libertarian,L,25,357,0.070028,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 34,Trey Hollingsworth,Republican,R,135,357,0.378151,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 35,Shelli Yoder,Democratic,D,270,524,0.515267,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 35,Russell Brooksbank,Libertarian,L,47,524,0.089695,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 35,Trey Hollingsworth,Republican,R,207,524,0.395038,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 36,Shelli Yoder,Democratic,D,260,561,0.463458,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 36,Russell Brooksbank,Libertarian,L,32,561,0.057041,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 36,Trey Hollingsworth,Republican,R,269,561,0.479501,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 37,Shelli Yoder,Democratic,D,377,791,0.476612,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 37,Russell Brooksbank,Libertarian,L,35,791,0.044248,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 37,Trey Hollingsworth,Republican,R,379,791,0.47914,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 38,Shelli Yoder,Democratic,D,329,730,0.450685,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 38,Russell Brooksbank,Libertarian,L,48,730,0.065753,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 38,Trey Hollingsworth,Republican,R,353,730,0.483562,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 39,Shelli Yoder,Democratic,D,248,519,0.477842,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 39,Russell Brooksbank,Libertarian,L,50,519,0.096339,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 39,Trey Hollingsworth,Republican,R,221,519,0.425819,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 40,Shelli Yoder,Democratic,D,366,786,0.465649,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 40,Russell Brooksbank,Libertarian,L,57,786,0.072519,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 40,Trey Hollingsworth,Republican,R,363,786,0.461832,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 41,Shelli Yoder,Democratic,D,206,439,0.469248,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 41,Russell Brooksbank,Libertarian,L,42,439,0.095672,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 41,Trey Hollingsworth,Republican,R,191,439,0.43508,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 42,Shelli Yoder,Democratic,D,255,604,0.422185,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 42,Russell Brooksbank,Libertarian,L,50,604,0.082781,TOTAL,yes
2016,Indiana,9,US House,Clark,18019,Clark,Jeffersonville 42,Trey Hollingsworth,Republican,R,299,604,0.495033,TOTAL,yes
