year,state,district,office,county_name,county_fips,jurisdiction,precinct,dem_candidate,rep_candidate,lib_candidate,dem_votes,rep_votes,lib_votes,other_votes,total_votes,dem_share,rep_share,lib_share,two_party_dem_share,rep_margin,rep_margin_share,winner_party,county_registered_voters,county_voters_voting,county_turnout_pct_reported,county_turnout_rate,county_election_day_votes,county_absentee_votes,county_absentee_share_reported,county_absentee_share,county_source,districts_in_county,county_split_in_year
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 1,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,235,407,49,0,691,0.340087,0.589001,0.070912,0.366044,172,0.267913,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 2,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,208,462,53,0,723,0.28769,0.639004,0.073306,0.310448,254,0.379104,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Hamblen 3,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,179,412,32,0,623,0.287319,0.661316,0.051364,0.302876,233,0.394247,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 1,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,206,426,28,0,660,0.312121,0.645455,0.042424,0.325949,220,0.348101,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 2,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,192,212,23,0,427,0.449649,0.496487,0.053864,0.475248,20,0.049505,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 3,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,188,318,21,0,527,0.356736,0.603416,0.039848,0.371542,130,0.256917,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Jackson 4,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,237,233,20,0,490,0.483673,0.47551,0.040816,0.504255,-4,-0.008511,Democratic,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Van Buren,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,360,572,74,0,1006,0.357853,0.568588,0.073559,0.386266,212,0.227468,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Washington 1,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,310,459,39,0,808,0.383663,0.568069,0.048267,0.403121,149,0.193758,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
2016,Indiana,9,US House,Brown,18013,Brown,Washington 2,Shelli Yoder,Trey Hollingsworth,Russell Brooksbank,286,323,39,0,648,0.441358,0.498457,0.060185,0.469622,37,0.060755,Republican,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf,9,no
