year,county_name,registered_voters,voters_voting,turnout_pct_reported,turnout_rate,election_day_votes,absentee_votes,absentee_share_reported,absentee_share,source
2016,Adams,19482,13463,0.69,0.691048,7235,6228,0.46,0.462601,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Allen,276407,150739,0.55,0.545352,108542,42197,0.28,0.279934,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Bartholomew,55494,33198,0.6,0.598227,17035,16161,0.49,0.486806,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Benton,6129,3793,0.62,0.618861,2850,943,0.25,0.248616,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Blackford,8976,4992,0.56,0.55615,2542,2450,0.49,0.490785,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Boone,49294,33067,0.67,0.670812,11062,22005,0.67,0.665467,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Brown,12955,8229,0.64,0.635199,5192,3037,0.37,0.369061,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Carroll,14338,8899,0.62,0.620658,4749,4150,0.47,0.466345,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Cass,22012,14620,0.66,0.664183,4992,9628,0.66,0.65855,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Clark,94446,52204,0.55,0.552739,42620,9584,0.18,0.183587,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Clay,19581,11479,0.59,0.586232,7209,4270,0.37,0.371984,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
2016,Clinton,20529,12191,0.59,0.593843,6189,6002,0.49,0.49233,https://www.in.gov/sos/elections/voter-information/files/2016_General_Election_Turnout.pdf
